evidence_id,alvo,tipo_de_alvo,afirmacao,classe_de_evidencia,fonte,localizacao,citacao,raciocinio,nivel_de_confianca,status
EV-011,FAM-011,FAMILIA,Cilindros graduados para seringas automáticas pertence a Vacinação e aplicação com aplicacao principal 'vacinação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p5 pdf-complementar p10 csv,CILINDRO GRADUADO SOCOREX,nome do produto declara a funcao,ALTA,BLOQUEADA
EV-012,FAM-012,FAMILIA,Componentes e reposição para seringas automáticas pertence a Vacinação e aplicação com aplicacao principal 'reposição' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p6|pdf-publicado p6 csv|pdf-publicado p6 pdf-complementar p10 csv,"BICO REPOSIÇÃO SOCOREX|CONEXÃO MANGUEIRA SOCOREX|KIT REPARO DA SERINGA SOCOREX 0,5 ML",nome do produto declara a funcao,MEDIA,BLOQUEADA
EV-013,FAM-013,FAMILIA,Equipos para aplicação e infusão pertence a Vacinação e aplicação com aplicacao principal 'aplicação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p10 csv|pdf-publicado p9 csv,EQUIPO MACROGOTAS INTRAVENOSO|EQUIPO VETERINÁRIO ENDOVENOSAS,nome do produto declara a funcao,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
EV-014,FAM-014,FAMILIA,Bicos pulverizadores pertence a Pulverização e sistemas de fluido com aplicacao principal 'pulverização' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, csv|pdf-publicado p4 pdf-complementar p3 csv,BICO PULVERIZADOR|BICO PULVERIZADOR BV LEQUE VAC SPRAY 65º,nome do produto declara a funcao,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
EV-015,FAM-015,FAMILIA,Tubulações e mangueiras pertence a Pulverização e sistemas de fluido com aplicacao principal 'circulação de fluidos' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p7 pdf-complementar p9 csv,TUBO SILICONE SPRAY|TUBULAÇÃO PU CRISTAL|TUBULAÇÃO SILICONE 8 MM,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-016,FAM-016,FAMILIA,Conexões em L pertence a Pulverização e sistemas de fluido com aplicacao principal 'circulação de fluidos' e segmento Avicultura,INFERENCE_MEDIUM,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, pdf-complementar p4,SEM NOME EM QUALQUER FONTE,unica pista e o codigo/medida; funcao nao declarada em nenhuma fonte,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
EV-017,FAM-017,FAMILIA,Conexões retas e passa-muros pertence a Pulverização e sistemas de fluido com aplicacao principal 'circulação de fluidos' e segmento Avicultura,INFERENCE_MEDIUM,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, pdf-complementar p4| pdf-complementar p5,SEM NOME EM QUALQUER FONTE,unica pista e o codigo/medida; funcao nao declarada em nenhuma fonte,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
EV-018,FAM-018,FAMILIA,Conexões em T pertence a Pulverização e sistemas de fluido com aplicacao principal 'circulação de fluidos' e segmento Avicultura,INFERENCE_MEDIUM,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, pdf-complementar p5,SEM NOME EM QUALQUER FONTE,unica pista e o codigo/medida; funcao nao declarada em nenhuma fonte,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
EV-019,FAM-019,FAMILIA,Conexões não identificadas pertence a Pulverização e sistemas de fluido com aplicacao principal '' e segmento Avicultura,UNCLASSIFIED,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, pdf-complementar p5,SEM NOME EM QUALQUER FONTE,unica pista e o codigo/medida; funcao nao declarada em nenhuma fonte,BAIXA,NÃO_CLASSIFICADA
EV-020,FAM-020,FAMILIA,Sistemas de pulverização (carrinho e galpão) pertence a Pulverização e sistemas de fluido com aplicacao principal 'pulverização' e segmento Avicultura,INFERENCE_MEDIUM,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, pdf-complementar p3,SEM NOME EM QUALQUER FONTE,unica pista e o codigo/medida; funcao nao declarada em nenhuma fonte,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
EV-021,FAM-021,FAMILIA,Bombas pertence a Pulverização e sistemas de fluido com aplicacao principal '' e segmento Avicultura,UNCLASSIFIED,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, pdf-complementar p9,SEM NOME EM QUALQUER FONTE,unica pista e o codigo/medida; funcao nao declarada em nenhuma fonte,BAIXA,NÃO_CLASSIFICADA
EV-022,FAM-022,FAMILIA,"Balanças suspensas e dinamômetros para aves pertence a Pesagem, medição e controle com aplicacao principal 'pesagem' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p3 csv|pdf-publicado p3 pdf-complementar p2 csv,BALANÇA DIGITAL SUSPENSA COM LUZ RETROVISORA|BALANÇA S DINAMÔMETRO AVES,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-023,FAM-023,FAMILIA,"Balanças eletrônicas para aves pertence a Pesagem, medição e controle com aplicacao principal 'pesagem' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p3 csv|pdf-publicado p3 pdf-complementar p2 csv,BALANCA ELETRONICA PARA AVES,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-024,FAM-024,FAMILIA,"Balanças para ovos pertence a Pesagem, medição e controle com aplicacao principal 'pesagem' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, csv|pdf-publicado p3 csv|pdf-publicado p3 pdf-complementar p2 csv,BALANÇA ELETRÔNICA PARA OVOS|BALANÇA ELETRÔNICA PARA OVOS ALTA PRECISÃO|MINI BALANÇA ELETRONICA PARA OVOS,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-025,FAM-025,FAMILIA,"Balanças de precisão de bolso pertence a Pesagem, medição e controle com aplicacao principal 'pesagem' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p3 csv,MINI BALANÇA DIGITAL DE BOLSO E ALTA PRECISÃO,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-026,FAM-026,FAMILIA,"Termômetros pertence a Pesagem, medição e controle com aplicacao principal 'controle de temperatura' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, csv|pdf-publicado p7 csv,TERMÔMETRO DIGITAL AMBIENTE|TERMÔMETRO DIGITAL PARA VACINA|TERMÔMETRO PARA AVES,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-027,FAM-027,FAMILIA,"Medidores e testes de qualidade da água pertence a Pesagem, medição e controle com aplicacao principal 'qualidade da água' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, csv|pdf-publicado p9 csv,ESTOJO DE TESTES PH E CL|FITA TESTE CLORO - 100 UN|PHMETRO COM MEDIDOR DE TEMPERATURA,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-028,FAM-028,FAMILIA,"Testes de qualidade do ambiente pertence a Pesagem, medição e controle com aplicacao principal 'qualidade do ambiente' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p9 csv,FITA TESTE DE AMÔNIA C/ 50 FITAS,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-029,FAM-029,FAMILIA,"Equipamentos para ovoscopia pertence a Pesagem, medição e controle com aplicacao principal 'ovoscopia' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, csv,LANTERNA PARA OVOSCOPIA,nome do produto declara a funcao,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
EV-030,FAM-030,FAMILIA,"Câmeras termográficas pertence a Pesagem, medição e controle com aplicacao principal 'monitoramento' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, csv,CÂMERA TERMOGRAFICA PARA AVES,nome do produto declara a funcao,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
EV-031,FAM-031,FAMILIA,"Lâminas para debicagem pertence a Peças, reposição e automação com aplicacao principal 'debicagem' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p5 pdf-complementar p6 csv,LAMINA DE REPASSE KH|LAMINA EM CORTE V|LAMINA RETA BC,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-032,FAM-032,FAMILIA,"Peças e componentes — não identificados pertence a Peças, reposição e automação com aplicacao principal '' e segmento Avicultura",UNCLASSIFIED,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, pdf-complementar p6| pdf-complementar p7| pdf-complementar p8| pdf-complementar p9|pdf-publicado p10 pdf-complementar p8|pdf-publicado p7 pdf-complementar p9,SEM NOME EM QUALQUER FONTE,unica pista e o codigo/medida; funcao nao declarada em nenhuma fonte,BAIXA,NÃO_CLASSIFICADA
EV-033,FAM-033,FAMILIA,"Bebedouros pendulares para aves pertence a Manejo, alimentação e biossegurança com aplicacao principal 'hidratação' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p4 csv,BEBEDOUROS PARA AVES COM GANCHO DE METAL|BEBEDOUROS PARA AVES COM GANCHO PLÁSTICO,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-034,FAM-034,FAMILIA,"Comedouros para aves pertence a Manejo, alimentação e biossegurança com aplicacao principal 'alimentação' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p4 csv,COMEDOURO PARA AVES COM GANCHO PLÁSTICO,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-035,FAM-035,FAMILIA,"Niples para bebedouro pertence a Manejo, alimentação e biossegurança com aplicacao principal 'hidratação' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p10 csv,NIPLE BEBEDOURO MEDIA VAZÃO,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-036,FAM-036,FAMILIA,"Armadilhas para roedores pertence a Manejo, alimentação e biossegurança com aplicacao principal 'controle de pragas' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p8 csv,ARMADILHA PARA ROEDORES|ARMADILHA TÚNEL,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-037,FAM-037,FAMILIA,"Adesivos e colas para captura pertence a Manejo, alimentação e biossegurança com aplicacao principal 'controle de pragas' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p8 csv,ADESIVO COLA 450x155MM|ADESIVO PARA ROEDORES,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-038,FAM-038,FAMILIA,"Contadores manuais para aves pertence a Manejo, alimentação e biossegurança com aplicacao principal 'manejo' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p10 csv,CONTADOR MANUAL PARA AVES,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-039,FAM-039,FAMILIA,"Consumíveis de assepsia e apoio pertence a Manejo, alimentação e biossegurança com aplicacao principal 'biossegurança' e segmento Avicultura",SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p10 csv|pdf-publicado p9 csv,GAZE 11 FIOS|SORO FISIOLOGICO 500ML|ÁLCOOL SWAB 70% - 100 UN,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-040,FAM-040,FAMILIA,Conjunto para aplicação de tuberculina pertence a Linhas complementares com aplicacao principal 'aplicação' e segmento Bovinocultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p8 csv,AGULHA INOX 04 X 08 TUBERCULINA|BARRA DOSADORA TUBERCULINA|CILINDRO GRADUADO TUBERCULINA,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-041,FAM-041,FAMILIA,Monitores e analisadores portáteis pertence a Linhas complementares com aplicacao principal 'monitoramento' e segmento Bovinocultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p8 csv|pdf-publicado p9 csv,ANALISADOR DE HEMOGLOBINA|MONITOR FREESTYLE OPTIUM NEO|TIRAS MONITORAMENTO CETONA 10UN,nome do produto declara a funcao,ALTA,BLOQUEADA
EV-042,FAM-042,FAMILIA,Seringas para insulina pertence a Linhas complementares com aplicacao principal 'aplicação' e segmento Bovinocultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p9 csv,SERINGA PARA INSULINA 1ML - 100 UN,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-043,FAM-043,FAMILIA,Imãs intra-ruminais pertence a Linhas complementares com aplicacao principal 'manejo' e segmento Bovinocultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p9 csv,IMÃ INTRA RUMINAL,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
